Country;Year;Day;Loses
N;2006;65;0
N;2006;70;3
N;2006;79;72
N;2006;85;100
N;2006;91;100
N;2008;26;5
N;2008;32;10
N;2008;41;28
N;2008;46;82
N;2008;61;90
N;2008;71;100
N;2010;42;0
N;2010;52;2
N;2010;57;9
N;2010;71;21
N;2010;79;88
N;2010;87;97
N;2010;92;100
N;2011;36;0
N;2011;44;4
N;2011;52;68
N;2011;90;100
N;2013;31;0
N;2013;46;7
N;2013;53;18
N;2013;62;44
N;2013;67;87
N;2013;77;96
N;2013;82;97
N;2013;88;98
N;2014;40;0
N;2014;47;5
N;2014;59;9
N;2014;63;38
N;2014;68;79
N;2014;72;91
N;2014;82;94
N;2014;88;98
N;2015;45;0
N;2015;52;4
N;2015;60;48
N;2015;66;60
N;2015;73;88
N;2015;82;96
N;2015;87;99
U;2006;79;3
U;2006;86;35
U;2006;93;83
U;2006;102;98
U;2006;109;100
U;2007;44;0
U;2007;48;9
U;2007;55;62
U;2007;62;96
U;2007;69;100
U;2010;74;0
U;2010;81;0
U;2010;92;55
U;2010;100;91
U;2010;113;100
U;2013;67;0
U;2013;75;1
U;2013;83;62
U;2013;89;95
U;2013;97;99
U;2013;102;100
U;2013;110;100
U;2013;116;100
U;2013;123;100
G;2009;26;0
G;2009;33;5
G;2009;43;52
G;2009;56;80
G;2009;65;99
G;2009;74;100
G;2010;63;4
G;2010;69;11
G;2010;77;93
G;2010;83;100
G;2011;41;2
G;2011;49;21
G;2011;55;52
G;2011;62;92
G;2011;69;99
G;2011;77;100
G;2014;50;2
G;2014;57;9
G;2014;65;55
G;2014;73;99
G;2014;78;100
G;2014;93;100
